1,2,619801,6
2,50,1450538,10
3,50,257907,6
4,50,260637,6
5,50,766538,6
6,50,1102086,6
7,50,1303972,6
8,50,1425713,6
9,50,2342274,6
10,50,825167,8
11,53,1605183,5
12,53,2221955,5
13,53,670713,7
14,54,329187,5
15,55,1365902,5
16,57,2264395,5
17,58,2310522,5
18,59,572671,5
19,60,550482,5
20,64,529100,5
21,64,2447271,5
22,85,1946415,6
23,114,870705,13
24,118,764247,6
25,118,1834714,6
26,272,1719483,6
27,284,255424,10
28,284,327865,10
29,284,1423039,10
30,284,1611167,10
31,284,1952862,10
32,284,2002506,10
33,284,2153674,10
34,284,2454886,10
35,284,2371032,10
36,284,2496495,10
37,284,2514007,10
38,284,2348802,2
39,284,2407485,2
40,284,20479,6
41,284,185796,6
42,284,255424,6
43,284,542794,6
44,284,571360,6
45,284,968002,6
46,284,1054840,6
47,284,1439701,6
48,284,1465238,6
49,284,1648738,6
50,284,1654169,6
51,284,1783935,6
52,284,1952862,6
53,284,2407485,6
54,284,2423216,6
55,284,1633021,12
56,284,473276,8
57,284,786379,8
58,287,2197518,5
59,288,2407485,10
60,288,2373344,5
61,324,2216504,5
62,334,2407485,10
63,343,2407485,10
64,348,2407485,10
65,351,1330115,5
66,354,2407485,10
67,356,1745745,5
68,356,1901335,5
69,358,2407485,10
70,358,2407485,6
71,358,2374603,7
72,363,1745745,5
73,363,2379257,5
74,366,2407485,10
75,366,2407485,6
76,371,2021013,1
77,371,1866067,6
78,415,1885005,6
79,581,2431770,6
80,587,2216845,5
81,596,468938,6
82,596,1304949,6
83,596,1582586,6
84,599,165567,5
85,614,2310522,5
86,619,865520,5
87,619,1265371,5
88,619,2248081,5
89,619,2248100,5
90,619,2248101,5
91,620,1900233,5
92,622,848623,5
93,622,1295942,5
94,622,1938935,5
95,633,304077,5
96,633,627961,5
97,633,629027,5
98,633,1098074,5
99,633,1134529,5
100,651,685913,5
101,651,913358,5
102,651,2265125,5
103,654,1761898,5
104,654,2230317,5
105,656,1788966,5
106,656,1903725,5
107,656,2413074,5
108,658,1575520,5
109,662,1376991,5
110,664,2432099,9
111,665,453927,5
112,670,764216,5
113,670,1845488,5
114,681,2267134,10
115,695,760246,13
116,695,1239703,13
117,419,2202504,15
118,419,1623135,10
119,419,240097,2
120,419,2202504,6
121,419,429,4
122,420,431,4
123,421,433,4
124,423,439,4
125,424,446,4
126,425,451,4
127,426,436,4
128,428,1017969,6
129,428,461,4
130,429,328554,10
131,429,327926,10
132,429,327832,10
133,429,327844,10
134,429,328041,10
135,429,328118,10
136,429,328007,6
137,429,419,3
138,431,420,3
139,433,324409,5
140,433,421,3
141,436,426,3
142,439,423,3
143,446,424,3
144,451,425,3
145,461,428,3
146,469,1484067,3
147,814,1948697,9
148,814,2345020,9
149,860,1421642,13
150,860,2415996,13
151,907,1634291,2
152,907,1634292,2
153,907,1634294,2
154,907,934,1
155,907,963,1
156,907,1634290,1
157,907,1634303,1
158,907,1634305,1
159,907,1634306,1
160,934,676284,10
161,934,907,2
162,934,963,2
163,934,1634290,2
164,934,1634291,2
165,934,1634292,2
166,934,1634294,2
167,934,1634302,2
168,934,1634303,2
169,934,1634304,2
170,934,1634305,2
171,934,1634306,2
172,934,1634290,6
173,934,2253591,6
174,934,2516108,6
175,934,1634297,12
176,963,907,2
177,963,1634291,2
178,963,1634292,2
179,963,1634294,2
180,963,934,1
181,963,1634290,1
182,963,1634303,1
183,963,1634305,1
184,963,1634306,1
185,1091,6815,13
186,1091,54168,13
187,1091,1523213,13
188,1144,1629778,10
189,1144,2215710,10
190,1144,195529,6
191,1144,2215709,6
192,1144,8459,11
193,1179,740429,13
194,1334,700253,13
195,1334,815770,13
196,1334,1106075,13
197,1334,1123589,13
198,1334,1519788,13
199,1334,1519827,13
200,1370,1450417,10
201,1148,1149,13
202,1148,1157,13
203,1148,1417,13
204,1148,1465,13
205,1149,1148,13
206,1149,1157,13
207,1149,1417,13
208,1149,1465,13
209,1157,1148,13
210,1157,1149,13
211,1157,1417,13
212,1157,1465,13
213,1379,1971860,13
214,1413,1005207,10
215,1417,1036385,10
216,1417,1582318,6
217,1417,1148,13
218,1417,1149,13
219,1417,1157,13
220,1417,1465,13
221,1421,1456727,5
222,1423,2339786,5
223,1429,1144027,5
224,1447,1582306,5
225,1465,11121,10
226,1465,1927859,10
227,1465,1349976,6
228,1465,1582495,6
229,1465,1148,13
230,1465,1149,13
231,1465,1157,13
232,1465,1417,13
233,1537,1633837,8
234,1537,1547,13
235,1547,1537,13
236,1549,10238,13
237,1549,358166,13
238,1549,1522017,13
239,1561,2495238,5
240,1564,304077,5
241,1565,1570,1
242,1570,1565,2
243,1633,2053116,6
244,1636,1634679,2
245,1674,2496495,10
246,1760,2399527,10
247,1865,180202,10
248,1865,1450454,10
249,1865,1450825,10
250,1865,1767259,1
251,1889,254369,7
252,1889,865771,7
253,2025,1634838,1
254,2025,1717850,6
255,2025,1634838,11
256,2026,498932,5
257,2026,1711584,5
258,2028,1394139,5
259,2028,1916434,5
260,2028,2245832,5
261,2029,1229453,5
262,2029,2280732,5
263,2031,1046886,5
264,2031,1708057,5
265,2031,1732333,5
266,2031,2398001,5
267,2031,2508593,5
268,2030,315481,5
269,2030,1405588,5
270,2030,1440807,5
271,2032,15711,5
272,2032,550482,5
273,2032,1918731,5
274,2032,2159685,5
275,2033,875508,5
276,2033,891166,5
277,2033,2248101,5
278,2033,2413592,5
279,2034,1369290,5
280,2034,1903725,5
281,2034,2245279,7
282,2035,7383,5
283,2035,824382,5
284,2035,1144027,5
285,2035,2447271,5
286,2036,1440097,5
287,2036,1930676,5
288,2036,2006899,5
289,2036,2291275,5
290,2037,846246,5
291,2037,1938944,5
292,2037,2376232,5
293,2038,1923855,5
294,2038,2121975,5
295,2038,2310581,5
296,2038,2490166,5
297,2039,440572,5
298,2039,812142,5
299,2039,1761343,5
300,2039,2373344,5
301,2039,2445639,5
302,2040,1046886,5
