1,1,968504,1,,,1
2,2,2163857,1,,25,1
3,2,2324528,2,,22,1
4,3,1851347,,,12,1
5,4,1681365,3,,,1
6,4,1717509,1,,,1
7,4,1911008,1,,,1
8,4,1915368,1,,1,1
9,4,1916360,,,,1
10,4,1916727,1,,,1
11,4,1950697,1,,,1
12,4,2113260,4,,27,1
13,4,2203212,1,,,1
14,4,2205557,,,,1
15,4,2211587,5,(voice),3,1
16,4,2242727,1,,,1
17,4,2265131,6,(as Too Short),,1
18,4,2436165,,,,1
19,4,2445520,1,,,1
20,4,2469958,1,,,1
21,4,2492847,,,,1
22,4,3494,7,,,1
23,4,2525604,1,(rumored),,1
24,4,73065,1,(as Too Short),,1
25,4,79577,1,(archive footage),,1
26,4,218742,1,,,1
27,4,285444,1,,,1
28,4,285446,1,,,1
29,4,285447,1,,,1
30,4,285448,1,,,1
31,4,285450,1,,,1
32,4,285453,1,,,1
33,4,285454,1,,,1
34,4,285455,1,,,1
35,4,285457,1,,,1
36,4,285459,1,,,1
37,4,405004,1,,,1
38,4,703692,1,,,1
39,4,703707,1,,,1
40,4,703713,1,(archive footage),,1
41,4,703715,8,,,1
42,4,763840,9,,,1
43,4,874262,10,,13,1
44,4,1205916,3,,,1
45,4,1333296,1,,,1
46,4,1379117,1,,,1
47,4,1483769,1,,,1
48,4,1547201,1,(archive footage),,1
49,5,1898037,11,,,1
50,5,2153771,12,,,1
51,5,880737,13,,,1
52,5,880744,13,,,1
53,6,2116962,14,,,1
54,7,1175445,14,,,1
55,8,470449,14,,,1
56,9,2284724,15,,,1
57,9,2337125,14,,,1
58,9,425178,14,,,1
59,9,1510049,14,,,1
60,10,129191,16,,8,1
61,11,1089225,1,,,1
62,12,427978,14,,,1
63,13,2284724,15,,,1
64,13,2337124,14,,,1
65,13,425179,14,,,1
66,14,2372249,1,,,1
67,15,2123866,17,,,1
68,15,2247745,18,,,1
69,15,2485258,19,,,1
70,15,641492,1,(as Michael 'Power' Viera),,1
71,15,1229836,20,,,1
72,15,1366546,21,,,1
73,15,1366546,22,,,1
74,16,2407255,23,(uncredited),,1
75,17,1710174,24,,28,1
76,18,2139838,25,,16,1
77,18,2139838,26,,16,1
78,19,1706485,27,(as Buguelo),,1
79,19,1778572,28,,7,1
80,19,2251755,1,,,1
81,19,2458232,27,,,1
82,20,2492015,1,,,1
83,21,2146073,29,,,1
84,22,1715956,30,,,1
85,22,2389519,31,,,1
86,23,2522753,32,,20,1
87,24,490285,33,,,1
88,25,1680193,,,,1
89,26,2492015,1,,,1
90,27,1793157,,,1,1
91,27,2430754,,,2,1
92,28,2389519,34,,,1
93,29,1643709,14,,,1
94,30,2041550,1,,,1
95,31,1677442,,,45,1
96,31,1810457,1,,,1
97,31,1887948,1,,,1
98,31,1909439,1,,,1
99,31,1909455,1,,,1
100,31,1909457,1,,,1
101,31,2037694,1,,,1
102,31,2122020,1,,,1
103,31,2166474,1,,,1
104,31,2215679,1,,,1
105,31,2250583,1,,,1
106,31,2275728,1,,,1
107,31,2475885,1,,,1
108,31,27201,1,,,1
109,31,50848,1,,,1
110,31,263084,1,,,1
111,31,503695,1,,,1
112,31,908611,1,,,1
113,31,908617,1,,,1
114,31,908787,1,,,1
115,31,908798,1,,,1
116,31,947035,1,,,1
117,31,975981,1,,,1
118,31,997878,1,,,1
119,31,997879,1,,,1
120,31,997880,1,,,1
121,31,998087,1,,,1
122,31,998088,1,,,1
123,31,998089,1,,,1
124,31,1111317,1,,,1
125,31,1112121,1,,,1
126,31,1484917,1,,,1
127,31,1501299,1,,,1
128,32,1817079,,,12,1
129,33,1873429,1,,,1
130,33,2044434,1,,,1
131,33,2133822,1,,,1
132,33,2196377,35,,12,1
133,33,75814,1,,,1
134,33,239900,1,,,1
135,33,410037,1,,,1
136,33,449666,,,,1
137,33,449668,1,,,1
138,33,449670,1,,,1
139,33,449672,1,,,1
140,33,449673,1,,,1
141,33,449674,1,,,1
142,33,449675,1,,,1
143,33,449676,1,,,1
144,33,449677,1,,,1
145,33,449678,1,,,1
146,33,449679,1,,,1
147,33,449680,1,,,1
148,33,449681,1,,,1
149,33,449682,1,,,1
150,33,449683,1,,,1
151,33,449684,1,,,1
152,33,449685,1,,,1
153,33,449702,1,,,1
154,33,449706,1,,,1
155,33,623227,1,,,1
156,33,623235,1,,,1
157,33,623239,1,,,1
158,33,623240,1,,,1
159,33,623242,1,,,1
160,33,946279,1,,,1
161,33,946287,1,,,1
162,33,946288,1,,,1
163,33,946307,1,,,1
164,33,946313,1,,,1
165,33,946337,1,,,1
166,33,946361,1,,,1
167,33,946379,1,,,1
168,33,946393,1,,,1
169,33,946394,1,,,1
170,33,946402,,,,1
171,33,946405,,,,1
172,33,1057152,,,,1
173,33,1057159,,,,1
174,33,1057160,,,,1
175,33,1057162,,,,1
176,33,1057163,,,,1
177,33,1057164,,,,1
178,33,1057165,,,,1
179,33,1057167,,,,1
180,33,1057168,,,,1
181,33,1057171,,,,1
182,33,1057173,,,,1
183,33,1158701,1,,,1
184,33,1178939,1,,,1
185,33,1178940,1,,,1
186,33,1526500,36,,3,1
187,33,1526502,36,,3,1
188,33,1526503,36,,3,1
189,33,1526505,36,,3,1
190,33,1526506,36,,3,1
191,33,1526507,36,,3,1
192,33,1526508,36,,3,1
193,33,1526509,36,,3,1
194,33,1526510,36,,3,1
195,33,1526511,36,,3,1
196,33,1526512,36,,3,1
197,33,1526513,36,,3,1
198,33,1536916,1,,,1
199,33,1549244,,,,1
200,33,1628439,1,,,1
201,34,2084184,37,,25,1
202,35,739703,1,,,1
203,36,1870218,,,10,1
204,37,2443980,38,,24,1
205,38,2082871,39,,,1
206,39,1809667,40,,83,1
207,40,2082871,41,,,1
208,41,1809667,42,,80,1
209,42,2038305,,,22,1
210,43,2082871,43,,,1
211,44,2178515,44,,20,1
212,45,2084184,45,,20,1
213,46,2353120,46,,,1
214,47,2492015,1,,,1
215,48,2177983,1,,,1
216,49,637443,47,,,1
217,50,2096029,48,,21,1
218,51,1876535,49,,1,1
219,52,1635385,50,,12,1
220,53,2492015,1,,,1
221,54,1778572,51,,,1
222,55,1947292,52,,,1
223,56,1695493,1,,,1
224,56,1718704,1,,,1
225,56,1969820,1,,47,1
226,56,1992326,53,,,1
227,56,2326246,1,(archive footage),,1
228,56,2341336,54,,22,1
229,56,2348128,1,,,1
230,56,2348150,55,,,1
231,56,2361067,1,,,1
232,56,2361067,56,,,1
233,56,2494796,1,,9,1
234,56,59872,1,,,1
235,56,59875,1,,,1
