1,4147861,22,"5' 9""",
2,4147861,19,"Richard Matthew Clark was born and raised in southeastern, NC, in a small town called, Chadbourn, NC.  He has a tragic tale filled with emotion that becomes one with the canvas he paints. Clark has a way through any media to lead you into a world that traps your soul.  His mother left him at six months old and his dad that's drinking almost destroyed the both of them.  His mother came back into his life when he was twelve only to attempt to murder him.  Art was his only outlet to express his emotion. His senior year in High School he excelled in the arts and was offered a full scholarship to the Parsons School of Art and the Art Institute, as well as, an internship with Marvel and Disney.  The light at the end of the tunnel was soon dimmed as he had to put his dad in a rehab clinic and drop out of school to save their home.  He saved their home but soon after his father was released from rehab his dad furious of being admitted into the treatment center, gave the home up any way and the two went their separate ways.  With no one to seek shelter with Clark found himself sleeping in a cemetery on a cement tomb staring at the sky seeking a way out.  He went to a local community college during the day where he obtained his adult high school diploma and joined the United States Army.  He found himself joining the military where he fought in the Infantry and forever tried to find a way back to the path to use his art. He is the type of person that has faced trial after trial but no matter how many times he has been knocked to the ground he has always managed to summon the strength to stand back up and face whatever the powers that be had to throw at him.  Trying to have a real family for once he married at 18 and had 2 sons by 21. His wife turned out to be just like his mom and ended up walking out on the family and never looking back.  He was a single father and left the military where he would sell sketches and paint murals for income.  3 years past and he built a sign and graphics company and then married a female that tried to take what he had worked so hard to build. They had one child together and during the divorce proceeding the wife told the judge ""Sir he can have the child I just want the money!"" Clark threw the keys to her from across the court room and kept his 3 sons together.  He lost everything again but then kept the thing that mattered most....his children.  With just an airbrush left he went to the beaches of the Carolina's and started painting t-shirts for money. This fine artist that seemed to channel the spirits of the masters had been reduced to doing whatever it took art wise to eat.  He found himself working night and day to provide for everyone and with the street smarts he possessed he managed to turn money over and open an airbrush shop in the mall. Three years past and he met a bi racial girl that was born and raised in Germany. They dated for a while and she seemed to be the only one that could tame the battle tossed artist.  They were married in 2005 and now Clark finally has his family and now with four sons.  Although, Clark, has been through so much he always remains positive and humble and true to his southern charm. His work is able to captivate people from all walks of life and crosses over to all races, religions and backgrounds. His art is now world wide and his clients include everyone from the Ruff Ryderz, Warren Sapp and the Hollywood Elite.  Mr. Clark does everything from acting, producing, writing screenplays, set painting, special effects make up, music; and even owns custom body shops and mall stores, as well as, his own Production Company.  Born and raised in the Carolina's of the United States he is a hardened and battle tossed soul that still displays the characteristics of a leader. One that does not drink or use drugs; he stands as a knight making sure others do not have to struggle and feel the pain that he has known.","Tesha Dockery ""germanpheonix@yahoo.com"""
3,4147861,24,'Tene Clark' (17 November 2005 - present),
4,4147861,28,Ghost,
5,4,22,"5' 7""",
6,4,21,28 April 1966,
7,4,20,"Los Angeles, California, USA",
8,4,17,Well known as rapper Too Short,
9,4,28,Shorty the Pimp,
10,4,28,Short Dogg,
11,5,15,Perseverance is the key to success.,
12,5,26,"Moore, Brandon Demetrius",
13,5,17,Began his career in entertainment promoting and managing rap artists before eventually becoming a rap artist himself.,
14,5,17,"His father was stationed at Fort Benning, Georgia, at the time of his birth.",
15,5,17,"Was born at Martin Army Hospital in Fort Benning, Georgia.",
16,5,17,"Growing up an avid zombie movie buff, he got his first ever movie role in the independent horror film, ""Night of the Jackals"" (2009), which featured zombie-like creatures known as ""Jackals"".",
17,5,22,"6' 4""",
18,1739584,28,Metallicar,
19,2701136,19,"Born in Iraq, Ja'far moved with his family to other parts of the Arab world before settling in London in the mid 1980s. While reading social sciences at the University of London, Ja'far began to assist in independent TV and radio productions in London. After attending courses in film production at London's Lux Centre, Hoxton, he began to write film criticism for the Arabic daily 'Al-Hayat"" newspaper, and later for the Paris-based ""Cinema"" magazine.  After completing an MA in 20th Century Historical Studies and ""discovering"" the work of Frank Capra, Sergei Eisenstein and Dziga Vertov within the context of ""political cinema"", Ja'far began an MA in Film Studies, after the completion of which he worked on a PhD thesis on film adaptations.  During his film studies, he worked on a series of TV pilots and programmes for small community-based TV stations, making ""Test Drive"" (16mm) in 1999, and shooting the short film ""Eyes Wide Open"" (16mm) which was finally edited in 2005, and making ""A Two Hour Delay"" (BW 16mm) in 2000, which screened at a festival for independent cinema in 2001.  Ja'far has also helped organize film festivals in London and the Gulf, most notably, programming assistant at the Raindance Film Festival in 2006.  Mesocafe is Ja'far's directorial feature debut.",Anonymous
